_id	vector_id	timestamp	speed	elapsed	level_of_service	cin_id	creation_time
69666	293	2016-09-04T01:35:00Z	4.2466264	10745.0	red	cin19970118T212741853622861140234809390848	1472953023
69667	276	2016-09-02T17:21:00Z	24.879126	1798.0	green	cin19970119T002056853633256140541320750848	1472836980
69671	290	2016-09-03T04:42:00Z	51.388832	21.0	green	cin19970119T050105853650065140234924861184	1472877841
69679	284	2016-09-04T00:47:00Z			yellow	cin19970120T063617853742177140234826176256	1472950129
69683	288	2016-09-03T18:32:00Z	45.10545	23.0	green	cin19970120T154423853775063140234817783552	1472927604
69684	316	2016-09-04T13:21:00Z	61.799725	524.0	green	cin19970120T165903853779543140234924861184	1472995355
69686	315	2016-09-03T15:23:00Z	57.22435	571.0	green	cin19970120T183329853785209140234924861184	1472916263
69691	290	2016-09-02T10:26:00Z	48.20829	21.0	green	cin19970121T135434853854874140541387859712	1472812086
69692	280				red	cin19970121T235619853890979139983560201984	1468183770
69693	308	2016-09-03T07:09:00Z	52.605194	491.0	green	cin19970122T030750853902470140234933253888	1472886661
69695	288	2016-09-02T20:29:00Z	63.0075	16.0	green	cin19970122T081317853920797140541387859712	1472848237
69696	282	2016-09-02T20:14:00Z	78.66824	437.0	green	cin19970122T082448853921488140541371074304	1472847383
69697	288	2016-09-03T05:54:00Z	54.2	18.0	green	cin19970122T114619853933579140234941646592	1472882163
69698	310	2016-09-03T17:38:00Z	59.154713	1588.0	green	cin19970122T123118853936278140234842961664	1472924475
69702	312	2016-09-03T21:50:00Z	58.911198	777.0	green	cin19970123T063329854001209140234809390848	1472939512
69705	282	2016-09-04T01:46:00Z	69.99837	491.0	yellow	cin19970123T084754854009274140234826176256	1472953711
69706	288	2016-09-03T09:42:00Z	68.097435	15.0	green	cin19970123T125728854024248140234817783552	1472895824
69710	308	2016-09-03T10:35:00Z	14.45258	3322.0	red	cin19970123T171902854039942140234941646592	1472898986
69714	282	2016-09-03T18:59:00Z	71.3156	483.0	green	cin19970125T023059854159459140234817783552	1472929166
69716	316	2016-09-02T12:21:00Z	8.162043	5359.0	red	cin19970125T093411854184851140541612369664	1472818906
69720	316	2016-09-03T16:19:00Z	53.688377	729.0	green	cin19970126T033331854249611140234799036160	1472919671
69724	284	2016-09-03T21:17:00Z	7.216474	4152.0	yellow	cin19970126T122326854281406140234834568960	1472937494
69725	292	2016-09-04T16:22:00Z	53.1933	863.0	green	cin19970128T134808854459288140234834568960	1473006173
69730	310	2016-09-02T16:34:00Z	47.90189	1432.0	green	cin19970129T013235854501555140541612369664	1472834119
69731	293	2016-09-04T10:07:00Z	31.497232	1917.0	green	cin19970129T021956854504396140234941646592	1472983715
69736	315	2016-09-04T21:27:00Z	43.76015	1665.0	green	cin19970129T145039854549439140234809390848	1473024529
69740	282	2016-09-04T19:10:00Z	67.32894	516.0	green	cin19970130T031856854594336140234950039296	1473016279
69742	285	2016-09-02T11:54:00Z	67.07574	442.0	green	cin19970130T060912854604552140541320750848	1472817322
69755	282	2016-09-04T17:15:00Z	65.09227	552.0	green	cin19970201T044237854772157140234834568960	1473009442
69756	283	2016-09-02T16:50:00Z	76.79367	453.0	green	cin19970201T053710854775430140541396252416	1472835105
69765	316	2016-09-04T09:11:00Z	54.778885	633.0	green	cin19970202T044057854858457140234809390848	1472980340
69774	295				green	cin19970204T151701855069421139983576987392	1468125457
69776	291				green	cin19970204T221814855094694139983535023872	1468064879
69779	285	2016-09-03T04:19:00Z			green	cin19970205T012555855105955140234809390848	1472876445
69780	294	2016-09-02T07:01:00Z	59.264614	1170.0	green	cin19970205T084723855132443140541620762368	1472799796
69781	290	2016-09-03T13:24:00Z	48.89221	24.0	green	cin19970205T095643855136603140234933253888	1472909101
69785	288	2016-09-02T19:28:00Z	65.33035	15.0	green	cin19970205T190255855169375140541379467008	1472844564
69786	282	2016-09-04T14:24:00Z	71.2613	482.0	green	cin19970205T225807855183487140234941646592	1472999128
69788	316	2016-09-02T09:32:00Z	60.441257	541.0	green	cin19970206T050936855205776140541379467008	1472808779
69789	312	2016-09-03T01:03:00Z			green	cin19970206T091228855220348140541320750848	1472864670
69791	279				green	cin19970206T145734855241054139983543416576	1468070494
69792	312	2016-09-02T06:33:00Z	55.39381	900.0	green	cin19970206T160507855245107140541629155072	1472798031
69800	293	2016-09-03T19:08:00Z	61.60419	741.0	green	cin19970207T143619855326179140234826176256	1472929854
69806	283	2016-09-03T08:38:00Z	75.52906	461.0	green	cin19970209T145954855500394140234842961664	1472891987
69808	285	2016-09-02T09:55:00Z	43.351875	1455.0	green	cin19970209T210339855522219140541379467008	1472810163
69812	315	2016-09-04T01:25:00Z	4.728858	6882.0	red	cin19970210T061515855555315140234809390848	1472952427
69813	290	2016-09-02T20:11:00Z	40.285587	29.0	green	cin19970210T080501855561901140541396252416	1472847194
69814	313	2016-09-03T05:31:00Z	15.386722	2937.0	green	cin19970210T112346855573826140234941646592	1472880743
69815	280	2016-09-03T18:35:00Z	24.857664	1949.0	yellow	cin19970210T122642855577602140234817783552	1472927800
69818	310	2016-09-02T08:08:00Z	23.152248	2957.0	green	cin19970210T192403855602643140541629155072	1472803738
69820	319				green	cin19970211T032713855631633139983568594688	1468177365
69824	311	2016-09-03T16:54:00Z			green	cin19970211T150817855673697140234950039296	1472921738
69825	293	2016-09-04T10:15:00Z	37.16393	1360.0	green	cin19970211T154022855675622140234817783552	1472984186
69828	310	2016-09-04T16:36:00Z	48.99437	1461.0	green	cin19970212T083045855736245140234950039296	1473007040
69834	315	2016-09-03T16:42:00Z	65.01206	502.0	green	cin19970212T221905855785945140234817783552	1472921052
69836	280	2016-09-04T09:59:00Z	31.518934	1410.0	green	cin19970213T034004855805204140234799036160	1472983228
69837	294	2016-09-02T08:24:00Z	52.658257	1367.0	green	cin19970213T073110855819070140541371074304	1472804722
69838	276	2016-09-02T18:27:00Z	38.91972	750.0	green	cin19970213T080758855821278140541387859712	1472840939
69840	295				green	cin19970213T084423855823463139983560201984	1468011721
69842	319				red	cin19970213T133646855841006139983585380096	1468101722
69846	290	2016-09-02T11:46:00Z	48.851604	22.0	green	cin19970214T014439855884679140541629155072	1472816829
69848	311	2016-09-03T12:21:00Z	24.053282	1036.0	green	cin19970214T041003855893403140234924861184	1472905419
69852	284	2016-09-03T15:38:00Z	72.72696	412.0	green	cin19970214T082941855908981140234941646592	1472917219
69862	279				green	cin19970215T150412856019052139983543416576	1468097013
69867	276	2016-09-04T13:12:00Z	44.525555	497.0	green	cin19970216T005458856054498140234809390848	1472994873
69872	292	2016-09-04T23:39:00Z			green	cin19970217T075838856166318140234834568960	1473032485
69873	277	2016-09-04T13:32:00Z	12.9292555	1733.0	yellow	cin19970217T164817856198097140234826176256	1472996112
69877	285	2016-09-03T13:41:00Z	26.269014	4820.0	green	cin19970218T010204856227724140234933253888	1472910169
69878	282	2016-09-02T13:24:00Z	64.70169	570.0	green	cin19970218T050824856242504140541387859712	1472822756
69879	296	2016-09-02T21:02:00Z	65.72519	393.0	green	cin19970218T120145856267305140541620762368	1472850223
69882	313	2016-09-02T12:01:00Z	5.317816	8498.0	yellow	cin19970218T183834856291114140541645940480	1472817818
69886	295	2016-09-02T06:52:00Z	78.53202	485.0	green	cin19970218T234117856309277140541629155072	1472799206
69890	290	2016-09-02T09:30:00Z	43.475784	26.0	green	cin19970219T233415856395255140541396252416	1472808680
